Round,attacker,rival,PitLap,rival_pit_lap,k,gap_s,pair,age_old,tt,rival_age,rival_compound,same_compound,pos_before,rival_pos_before,out_lap,pos_after,rival_pos_after,won,pace_delta_s,step0_s,gain_by_k_s,gain_lap1_s,margin_s,margin_lap1_s,needs_them_out_for,call_ahead,extrapolating
4,LIN,BOR,27,31,4,5.829999999999927,MEDIUM>HARD,26.0,38.40945789136108,26.0,MEDIUM,True,14,13,34,14,13,False,0.9519999999999982,1.1068046030105603,4.553637847420542,1.2298944859492884,-1.2763621525793853,-4.600105514050639,,False,False
4,RUS,PIA,19,27,8,0.9340000000001965,MEDIUM>HARD,18.0,39.24912708405993,18.0,MEDIUM,True,5,4,30,5,7,True,-0.27299999999999613,1.1400062998944738,8.599499574163037,1.269703509049612,7.6654995741628404,0.3357035090494156,1.0,True,False
4,STR,ALO,20,40,20,3.2200000000002547,MEDIUM>SOFT,19.0,39.17176563179955,19.0,MEDIUM,True,18,17,43,17,16,False,-0.09866666666665935,0.45755931670562955,3.4718063279584404,0.5839269734211946,0.2518063279581857,-2.63607302657906,9.0,True,False
5,BOR,HUL,17,19,2,6.108000000000175,SOFT>MEDIUM,14.0,17.599842423457087,18.0,SOFT,True,15,13,22,16,14,False,-0.42933333333333223,0.7172564530123263,2.013107793694051,1.0420520068450512,-4.094892206306124,-5.065947993155124,,False,False
5,BOT,STR,27,48,21,31.563999999999396,MEDIUM>SOFT,17.0,17.89146388729478,12.0,SOFT,False,19,18,52,16,15,False,1.0296666666666567,0.415357826921843,-0.03352880453857443,0.4459572891532483,-31.59752880453797,-31.118042710846147,,False,False
5,COL,HAD,29,51,22,27.08600000000024,MEDIUM>HARD,28.0,17.91448844446752,32.0,SOFT,False,7,6,54,6,5,False,0.8469999999999942,0.8000799888754881,6.904503571873502,0.9745807177437859,-20.18149642812674,-26.111419282256453,,False,False
6,ALB,LAW,42,43,1,13.386000000000422,MEDIUM>SOFT,41.0,43.366312632868954,41.0,MEDIUM,True,10,9,46,10,8,False,2.049999999999997,1.1129427845289679,1.2506000549108776,1.2506000549108776,-12.135399945089544,-12.135399945089544,,False,False
6,COL,SAI,34,51,17,2.938000000000102,MEDIUM>HARD,33.0,43.418079011989974,33.0,MEDIUM,True,12,11,54,14,10,False,-0.2853333333333268,1.336134953922354,17.792522996266094,1.4737922243042636,14.854522996265992,-1.4642077756958383,3.0,True,False
6,GAS,PIA,44,47,3,9.265999999999622,MEDIUM>HARD,43.0,43.34639476361187,43.0,MEDIUM,True,5,4,50,7,6,False,0.054333333333346445,1.3332230639441502,4.204440432724708,1.47088033432606,-5.061559567274914,-7.795119665673562,,False,False
6,HAM,ANT,27,36,9,9.442999999999302,MEDIUM>HARD,26.0,43.35487785625081,26.0,MEDIUM,True,2,1,39,2,1,False,0.9946666666666601,1.3335676561383685,10.989529209648307,1.4712249265202781,1.5465292096490053,-7.971775073479023,8.0,True,False
6,HUL,SAI,11,51,40,1.4859999999998763,MEDIUM>HARD,10.0,43.22212548846976,10.0,MEDIUM,True,12,11,54,12,10,False,0.6629999999999967,1.3281751145679317,43.0255994887927,1.50551172057047,41.539599488792824,0.019511720570593694,1.0,True,False
6,LEC,ANT,34,36,2,17.777999999999338,MEDIUM>HARD,33.0,43.418079011989974,33.0,MEDIUM,True,2,1,39,3,1,False,0.9656666666666638,1.336134953922354,2.877041148736965,1.4737922243042636,-14.900958851262374,-16.304207775695076,,False,False
6,RUS,HAD,30,31,1,0.6719999999995707,MEDIUM>HARD,29.0,43.38423137498228,29.0,MEDIUM,True,5,4,34,7,8,True,0.025333333333350083,1.334760027111812,1.4724172974937217,1.4724172974937217,0.800417297494151,0.800417297494151,1.0,True,False
7,ALB,BOR,12,14,2,1.8710000000000946,MEDIUM>HARD,11.0,50.55790841360676,11.0,MEDIUM,True,18,17,17,19,18,False,0.1006666666666689,1.5432692564520563,3.451019709861196,1.7457756987098882,1.5800197098611015,-0.12522430129020634,2.0,True,False
7,BEA,LIN,17,21,4,8.908000000000357,MEDIUM>HARD,16.0,50.629566821512874,16.0,MEDIUM,True,9,8,24,17,16,False,0.020999999999986585,1.545818843572567,6.56587607452202,1.7299017914855896,-2.3421239254783366,-7.178098208514767,,False,False
7,BOR,BEA,14,17,3,1.0599999999994907,MEDIUM>HARD,13.0,50.56357763612464,13.0,MEDIUM,True,14,13,20,16,18,True,0.05900000000001171,1.543470965883472,5.072120775320627,1.73860801040338,4.0121207753211365,0.6786080104038894,1.0,True,False
